Date,flow,average temperature (C),precipitation,ET [kg/m^2/8day]
2013-11-17,263.0,22.52740102447378,3.90365367755082,317.191457885031
2013-11-18,252.0,22.534664393592145,4.196792724007594,315.8456434496832
2013-11-19,268.0,22.541927762710515,3.720175791328165,314.4998290143355
2013-11-20,302.0,22.54919113182888,0.0,313.1540145789877
2013-11-21,310.0,22.556454500947247,1.9269189311543784,311.80820014364
2013-11-22,364.0,22.563717870065616,2.216426897936599,310.4623857082922
2013-11-23,351.0,22.570981239183983,0.0,309.1165712729444
2013-11-24,324.0,22.578244608302352,0.0398095043821464,307.77075683759665
2013-11-25,303.0,22.58550797742072,10.415068649232587,306.42494240224886
2013-11-26,267.0,22.42056852815258,0.2499301426298022,301.9107199647312
2013-11-27,240.0,22.25562907888444,0.0,297.3964975272135
2013-11-28,230.0,22.090689629616293,0.2876419957747609,292.88227508969584
2013-11-29,217.0,21.925750180348157,0.441194523044534,288.36805265217816
2013-11-30,196.0,21.760810731080014,0.0,283.8538302146605
2013-12-01,183.0,21.59587128181187,0.7711766965848112,279.3396077771428
2013-12-02,178.0,21.430931832543727,0.0138767002169831,274.82538533962514
2013-12-03,203.0,21.265992383275588,0.0,270.31116290210747
2013-12-04,267.0,20.92002500499781,0.0,266.59546248324
2013-12-05,290.0,20.57405762672004,0.0,262.87976206437247
2013-12-06,277.0,20.228090248442268,0.0,259.164061645505
2013-12-07,231.0,19.88212287016449,0.0,255.44836122663747
2013-12-08,202.0,19.53615549188672,0.0,251.73266080777
2013-12-09,146.0,19.190188113608944,0.0037888118820729,248.0169603889025
2013-12-10,166.0,18.84422073533117,0.3848985662383031,244.301259970035
2013-12-11,151.0,18.4982533570534,0.0,240.5855595511675
2013-12-12,164.0,18.540729816977723,0.0,240.8822796911147
2013-12-13,170.0,18.58320627690205,0.0,241.17899983106184
2013-12-14,151.0,18.625682736826377,0.0,241.47571997100903
2013-12-15,159.0,18.668159196750707,0.0,241.7724401109562
2013-12-16,142.0,18.710635656675034,0.027240288100589,242.0691602509034
2013-12-17,129.0,18.75311211659936,0.0703603312423788,242.36588039085055
2013-12-18,122.0,18.795588576523688,0.0,242.66260053079773
2013-12-19,113.0,18.83806503644801,0.0028738400430496,242.9593206707449
2013-12-20,105.0,19.007239101320867,0.0106207996311025,231.0980524615808
2013-12-21,114.0,19.176413166193715,0.0,219.2367842524167
2013-12-22,127.0,19.345587231066567,0.0,207.37551604325265
2013-12-23,122.0,19.51476129593941,0.0,195.5142478340885
2013-12-24,116.0,19.683935360812267,0.0,183.6529796249244
2013-12-25,110.0,19.85310942568512,0.0071161019866776,171.7917114157603
2013-12-26,101.0,20.022283490557967,0.0,159.93044320659618
2013-12-27,106.0,20.19145755543082,0.0040002085113486,148.06917499743207
2013-12-28,106.0,20.33338032113897,0.0,161.54555768009766
2013-12-29,111.0,20.47530308684713,0.0,175.02194036276322
2013-12-30,130.0,20.61722585255529,0.0,188.4983230454288
2013-12-31,119.0,20.75914861826345,0.0,201.9747057280944
2014-01-01,103.0,20.901071383971605,0.0,215.45108841075995
2014-01-02,100.0,20.90459604512167,0.0,215.48104230719937
2014-01-03,96.0,20.90812070627173,0.0,215.5109962036388
2014-01-04,93.0,20.9116453674218,0.0117353178979465,215.54095010007825
2014-01-05,92.0,20.915170028571865,0.0038815725191363,215.57090399651764
